Title;Salary;Company;Location;Date
Тренер / Сервис-менеджер по автоматизации ресторана (удалённо);100 000-250 000 KZT;ТОО OPENSERVICE.KZ;Алматы;26 ноября
Frontend-разработчик;;ТОО Kazdream Technologies;Нур-Султан;18 ноября
Frontend-разработчик;от 400 000 KZT;ТОО Аврора Холдинг;Алматы;24 ноября
Менеджер интернет-магазина;;ИП HR Solutions (ТМ Белый Ветер KZ);Нур-Султан;21 ноября
Системный аналитик;;ТОО BP MANAGEMENT GROUP;Алматы, Байконур;23 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Алматы;24 ноября
Front-end разработчик/Верстальщик сайтов;до 250 000 KZT;ТОО THE WEB;Тараз;20 ноября
Laravel разработчик;150 000-400 000 KZT;ТОО Давай Сходим;Алматы;7 ноября
Machine learning специалист;;ТОО Kazdream Technologies;Нур-Султан;10 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Алматы;19 ноября
Помощник маркетолога;от 200 000 KZT;ИП Крылов Ю.Е.;Алматы;6 ноября
Руководитель проектов;; CTI;Алматы;20 ноября
Программист-разработчик;500 000-700 000 KZT;ТОО OPEN SYSTEMS DEVELOPMENT;Нур-Султан;19 ноября
Системный администратор IT;;ТОО Orkendeu Batys;Актобе;29 октября
Product-аналитик;; Kolesa Group;Алматы;23 ноября
DevOps engineer;;ТОО УМНЫЕ ГОРОДА;Алматы;25 ноября
Python-разработчик (Junior\ Middle);;ТОО WOOPPAY;Караганда;28 октября
Project Assistant (Junior);;АО TECHNODOM Operator (Технодом Оператор);Алматы;4 ноября
Бизнес-аналитик / IT аналитик;от 300 000 KZT;ТОО Bultech;Нур-Султан;13 ноября
Vue разработчик (Frontend);350 000-700 000 KZT;ТОО G1 Software Kazakhstan;Нур-Султан;13 ноября
Главный специалист Департамент инфраструктуры открытых ключей;250 000-300 000 KZT;АО Национальные информационные технологии;Нур-Султан;23 ноября
Программист С# / ASP.NET;от 300 000 KZT; Халык-Life, АО;Алматы;19 ноября
Эксперт Направления совершенствования бизнес-процессов;;АО Банк ЦентрКредит;Алматы;25 ноября
Специалист по ремонту компьютерной техники;от 150 000 KZT;ТОО ТЕХНОМАРТ;Нур-Султан;29 октября
Интернет-маркетолог в электроэнергетическую компанию;;ТОО Consult Energy;Нур-Султан;19 ноября
Монтажник слаботочных систем;от 200 000 KZT;ТОО Звук.Свет.Инсталляция;Нур-Султан;26 ноября
Back End разработчик;;ТОО Первое Кредитное бюро;Алматы;4 ноября
Менеджер по продажам в Веб студию;350 000-600 000 KZT;ИП ITQ;Алматы, Жибек Жолы;25 ноября
Инженер (Support);;АО Банк Хоум Кредит, ДБ АО;Алматы;23 ноября
Специалист отдела информации и технологии;150 000-160 000 KZT;ТОО Аргос;Шымкент;24 ноября
Главный менеджер Управления поддержки процессинга;;АО Altyn Bank;Алматы;23 ноября
PHP developer;2 000-2 500 EUR; Tophunt;Алматы, Абая и еще 2 ;23 ноября
Маркетолог;250 000-400 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;12 ноября
QA engineer;;ТОО DAR INTELI;Алматы;18 ноября
Junior Service Delivery Specialist - CIS Technology Services - ICS;; Deloitte, Caspian Region;Нур-Султан;23 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Нур-Султан;24 ноября
Менеджер по качеству данных;;ТОО Центр электронной коммерции;Нур-Султан;9 ноября
Back - end разработчик;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;26 ноября
Android-разработчик;до 750 000 KZT;ТОО G1 Software Kazakhstan;Нур-Султан;13 ноября
DevOps engineer;;ТОО УМНЫЕ ГОРОДА;Нур-Султан;25 ноября
Системный администратор;;ТОО Ваш Домофон;Алматы;26 ноября
Проектный менеджер в компанию интегратор (Product owner);от 300 000 KZT;ТОО Rocket S;Алматы, Драмтеатр имени Ауэзова;25 ноября
Middle Java-разработчик;;ТОО Globerce Inc.;Алматы;19 ноября
Аналитик;; Kaspi Bank, АО;Алматы, Байконур;9 ноября
Business development manager (Менеджер по развитию бизнеса);;ТОО Kazdream Technologies;Алматы;24 ноября
Разработчик фронтэнда;200 000-400 000 KZT;ТОО ZigZag Group;Алматы;30 октября
Архитектор DWH;;ТОО Prime Source;Алматы, Абая;9 ноября
Front-end developer;;ООО BizTech;Нур-Султан;26 ноября
Тестировщик ПО;от 200 000 KZT;ТОО PingOcean (ПингОушен);Алматы;9 ноября
Системный аналитик;;ТОО Kazdream Technologies;Нур-Султан;19 ноября
IOS/Android-разработчик;100 000-160 000 руб.; Creative;Алматы;24 ноября
Диспетчер пункта технического мониторинга;;ТОО БАТЫР-Павлодар, ТОО;Павлодар;25 ноября
Android разработчик Middle (Pillikan);250 000-500 000 KZT;ТОО Smart Idea Group;Шымкент;28 октября
Специалист по заказам (аналитик по товарным запасам);до 300 000 KZT;ТОО Армтек (ЗапчастьТрейд);Алматы;18 ноября
Монтажник слаботочник/электрик;140 000-250 000 KZT;ТОО RP Group;Алматы, Жибек Жолы;29 октября
Junior Business Analyst;; METRO Cash&Carry (Kazakhstan);Алматы;9 ноября
Project Manager;от 600 USD;ООО МОБИЛЬНЫЕ ТЕХНОЛОГИИ;Алматы, Драмтеатр имени Ауэзова;24 ноября
Golang разработчик;;ТОО Аврора Холдинг;Алматы;24 ноября
Монтажник слаботочных систем в компанию Orbis Construction;;ТОО EURASIA MOTOR ALMATY;Алматы;23 ноября
Специалист сектора информационных технологий;от 126 750 KZT;АО ДБ АО Сбербанк;Шымкент;16 ноября
Оператор видеонаблюдения;от 100 000 KZT;ТОО ТМ Меломан Home Video;Алматы, Жибек Жолы и еще 1 ;12 ноября
"Ведущий специалист (аналитик ) Управления государственных баз данных ""Е-лицензирование""";;АО Национальные информационные технологии;Нур-Султан;12 ноября
Инженер-системотехник /IT Специалист;50 000-180 000 KZT;ТОО Ай Ти Концепт;Нур-Султан;25 ноября
Торговый представитель;от 160 000 KZT;ТОО Common Market Corporation;Уральск;23 ноября
Менеджер интернет-проектов;200 000-300 000 KZT;ТОО ZigZag Group;Караганда;18 ноября
SMM-менеджер;150 000-180 000 KZT;ТОО DoroMarine;Алматы;26 ноября
Хостес;; Beeline, ТМ;Усть-Каменогорск;24 ноября
Тестировщик web-приложений;;ТОО ZigZag Group;Караганда;30 октября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Шымкент;4 ноября
Контент-менеджер;150 000-200 000 KZT;ИП JEANSOFFKA;Алматы;6 ноября
Product Manager;от 500 000 KZT;ТОО VR code;Алматы;3 ноября
IT-менеджер;от 140 000 KZT; АО «Банк Kassa Nova» (ДБ АО «ForteBank»);Актобе;3 ноября
Главный специалист Отдела поддержки рабочих мест;до 160 000 KZT; Евразийский банк, АО;Алматы;19 ноября
СММ специалист;от 200 000 KZT;ТОО Myspeaking.academy;Нур-Султан;4 ноября
Frontend-разработчик;до 800 000 KZT;ТОО AVIATA.KZ;Алматы;24 ноября
Сервисный инженер по ремонту;150 000-500 000 KZT;ТОО DDK Group;Алматы;19 ноября
Главный разработчик (Департамент рисков цифрового кредитования);;АО Народный банк Казахстана;Алматы;26 ноября
Менеджер по продажам;от 300 000 KZT;ТОО ST Integrator Company;Алматы;24 ноября
Менеджер проектов (новые продукты, Big Data, IT);; Beeline, ТМ;Алматы;18 ноября
Java-разработчик;400 000-500 000 KZT;ТОО BRAINEX;Петропавловск;25 ноября
Монтажник слаботочных систем;150 000-180 000 KZT;ТОО WEISAT;Нур-Султан;28 октября
Менеджер платежных систем;;ТОО Букмекерская контора PariMatch.KZ;Алматы;9 ноября
Системный администратор;от 300 000 KZT;ТОО Common Market Corporation;Караганда;19 ноября
"Аналитик по направлению ""сеть доступа""/""передача данных""";;АО Казахтелеком;Алматы;23 ноября
Web-дизайнер;200 000-250 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;24 ноября
QA - engineer/Тестировщик;;ТОО AVIATA.KZ;Алматы;26 ноября
Консультант 1C;100 000-220 000 KZT;ТОО ДНА Фарватер;Алматы;30 октября
Инженер-программист/системотехник;от 162 000 KZT;АО УМЗ, АО;Усть-Каменогорск;16 ноября
Дежурный инженер;;ТОО Sheraton Nur-Sultan Hotel;Нур-Султан;30 октября
Backend-разработчик;;ТОО Smart Remont;Нур-Султан;26 ноября
Специалист технической поддержки;;ТОО Paloma365;Алматы, Байконур;24 ноября
Personal assistant;; Arait Multimedia;Алматы;16 ноября
Аналитик по продукту (Middle);;ТОО УМНЫЕ ГОРОДА;Нур-Султан;24 ноября
Управляющий интернет - магазином;;ТОО KOREANA;Алматы;24 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Караганда;24 ноября
Менеджер по работе с ключевыми клиентами/ Аккаунт менеджер;;ТОО Gexabyte;Караганда;12 ноября
Фронтенд-разработчик (Верстальщик) в городе Караганда;;ТОО Ракетная фирма;Караганда;13 ноября
Data Analyst;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Нур-Султан;16 ноября
Менеджер IT-проектов/ Project manager;;ТОО Gexabyte;Караганда;24 ноября
Full - stack Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Бизнес аналитик (ИТ);;ТОО «Страховая компания «Amanat»;Алматы;10 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Кызылорда;4 ноября
IT Специалист отдела сопровождения 1С;120 000-180 000 KZT;ТОО ВЦ Интеграция;Алматы, Жибек Жолы;25 ноября
Frontend-разработчик;;ТОО КазГИСА;Нур-Султан;28 октября
Специалист службы поддержки клиентов;от 120 000 KZT;ТОО Documentolog;Нур-Султан;26 ноября
