Title;Salary;Company;Location;Date
Менеджер по продаже рекламы в 2GIS;150 000-450 000 KZT;ТОО 2ГИС-Справочник Караганды;Караганда;26 ноября
Data Scientist;до 700 000 KZT;ТОО AVIATA.KZ;Алматы;24 ноября
Специалист технической поддержки (чат-бот);от 110 000 KZT;ТОО МФО ОнлайнКазФинанс (ТМ Solva);Алматы;12 ноября
Web-разработчик Jun/Mid;100 000-500 000 KZT;ТОО QZhub;Нур-Султан;5 ноября
Стажер-программист 1С;от 60 000 KZT;ТОО AVITIM;Алматы, Драмтеатр имени Ауэзова;9 ноября
Инженер-электронщик;100 000-300 000 KZT;ТОО АТОЗ;Алматы;28 октября
Руководитель отдела IT;800 000-850 000 KZT;ТОО Бостан;Алматы;18 ноября
Технический специалист;125 000-250 000 KZT;ИП Multi Trade;Нур-Султан;24 ноября
Главный бизнес-аналитик;; Жилищный строительный сберегательный Банк Казахстана, АО;Алматы;6 ноября
Back-end разработчик;;ТОО Сенім Сервис KZ;Алматы;26 ноября
Инженер по информационным системам;; СП КАТКО;Шымкент;24 ноября
Инженер-администратор (Управление администрирования СУБД);до 400 000 KZT;АО Национальные информационные технологии;Нур-Султан;26 ноября
Аналитик (системный и бизнес);;ТОО Bloomzed.kz;Алматы;5 ноября
Frontend-разработчик;;ТОО Business and Technology Services;Нур-Султан;13 ноября
Аналитик;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;29 октября
Automation Database Administrator;;ТОО Air Energi Caspian LLP trading as Airswift;Атырау;23 ноября
IT-специалист (поддержка пользователей);;ТОО Управляющая компания Solution;Шымкент;24 ноября
Junior C# программист;;ООО QIWI Kazakhstan (КИВИ Казахстан);Алматы;6 ноября
Инженер технической поддержки;; CloudPayments;Алматы;25 ноября
Заместитель директора по развитию;от 300 000 KZT;ТОО SCS-Telecom;Нур-Султан;19 ноября
Специалист Helpdesk;;ТОО ASTER AUTO;Алматы;24 ноября
Младший консультант (управленческое консультирование);;ТОО Dostyk Advisory;Нур-Султан;17 ноября
Специалист по внедрению и сопровождению ПО;400 000-400 000 KZT;ТОО Documentolog;Нур-Султан;25 ноября
QA Engineer (тестировщик ПО);; ALSECO, АО;Алматы, Драмтеатр имени Ауэзова;28 октября
Специалист по мониторингу СМИ и соцсетей;90 000-200 000 KZT;ТОО iMAS GROUP;Нур-Султан;28 октября
Тестировщик web-приложений;до 200 000 KZT;ТОО ZigZag Group;Алматы, Алатау и еще 2 ;10 ноября
Tik Tok мейкер;от 150 000 KZT;ТОО ZHAN ALEMI GROUP;Шымкент;16 ноября
Разработчик пользовательского интерфейса;от 200 000 KZT;ТОО DevArt;Алматы;2 ноября
Менеджер по развитию клиентского сервиса;; Раимбек Боттлерс ТМ;Алматы;17 ноября
Программист;;ТОО Аманат;Караганда;1 ноября
Sap специалист;100 000-120 000 KZT;ТОО Line System Engineering, ТОО;Алматы;16 ноября
Pre-sales engineer/пресейл инженер (CCTV);;ТОО Abris Distribution Kazakhstan, Филиал Компании в Казахстане;Алматы;6 ноября
Team Lead \ Тим лидер команды разработки;; Chocofamily (Chocolife, Chocotravel, Chocofood, Lensmark, Idoctor);Алматы, Драмтеатр имени Ауэзова;18 ноября
C#/.NET разработчик (Middle);;ТОО Gexabyte;Алматы, Абая и еще 1 ;16 ноября
Менеджер интернет-магазина;150 000-300 000 KZT;ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан);Алматы;30 октября
Специалист службы безопасности;;ТОО Azimut solutions;Алматы;26 ноября
Системный администратор;от 300 000 KZT;ТОО Alpha-Safety;Усть-Каменогорск;10 ноября
Специалист внедрения/Специалист технической поддержки (Удаленно);20 000-70 000 руб.;ООО ИнтеллектДиалог;Алматы;13 ноября
