Title;Salary;Company;Location;Date
Сервисный инженер;150 000-300 000 KZT;ТОО Uplink;Костанай;5 ноября
Системный администратор/стажер;от 70 000 KZT;ТОО PRO ASSISTANCE;Алматы;24 ноября
Контент-редактор сайта;от 120 000 KZT;ТОО Смарт Нетворк ЦА;Алматы;18 ноября
Менеджер интернет-магазина;150 000-200 000 KZT;ИП МиксПрайс;Алматы;19 ноября
Монтажник;100 000-500 000 KZT;ТОО Papirus Print;Алматы;17 ноября
Менеджер-оператор;от 150 000 KZT;ТОО Метры Avenue;Алматы, Абая;24 ноября
Junior Android Developer;150 000-450 000 KZT;ТОО PingOcean (ПингОушен);Алматы;30 октября
Junior PHP-программист;до 150 000 KZT;ТОО DTV Group;Алматы;19 ноября
Специалист 1С;;ИП IT-Balance;Кокшетау;24 ноября
Специалист службы поддержки пользователей;от 100 000 KZT;ТОО «Күнделік (Kundelik)»;Алматы;3 ноября
Оператор;от 88 000 KZT;ТОО Шыгысэнерготрейд;Усть-Каменогорск;23 ноября
Специалист по вводу данных;;ТОО Интермедиа Астана;Усть-Каменогорск;25 ноября
Системный администратор;180 000-200 000 KZT;ТОО Вираж Сервис Казахстан;Алматы;23 ноября
Модератор онлайн-вебинара;40 000-60 000 KZT;ИП Top Tier;Алматы;25 ноября
Установщик GPS оборудования слаботочник автоэлектрик;200 000-270 000 KZT;ТОО Альфа-Монтаж;Нур-Султан;17 ноября
Программист-разработчик;;ТОО DevCloud Solutions;Алматы;26 ноября
Специалист по IT;;ТОО Budbeed Technologies (Бадбид Технолоджис);Алматы, Абая;19 ноября
Web-дизайнер;80 000-350 000 KZT;ТОО GARCOM;Алматы;26 ноября
Веб-дизайнер;150 000-250 000 KZT;ТОО Веб-студия ONELAB;Усть-Каменогорск;26 ноября
Маркетолог;;ИП Astana IT (Restart);Нур-Султан;25 ноября
Проектный менеджер;200 000-300 000 KZT; Smart Gas Global Ltd.;Нур-Султан;19 ноября
Intern - Blogger/SMM (стажер);;ТОО GMN;Алматы;29 октября
Программист PHP / Веб-разработчик;140 000-180 000 KZT;ТОО Казахстанский Центр Переподготовки и Повышения Квалификации;Алматы;20 ноября
Офис менеджер (помощник руководителя);140 000-400 000 KZT;ТОО Компаньон Коллектор;Алматы;20 ноября
Помощник маркетолога;;ТОО Кут-Курылыс, ТОО;Алматы;2 ноября
Bussines development manager;от 350 000 KZT;ТОО Unified Technologies;Алматы, Байконур;17 ноября
IT-специалист (Help Desk);;ТОО BP MANAGEMENT GROUP;Алматы, Байконур;16 ноября
Офис-менеджер;120 000-170 000 KZT;ТОО Абсолют Люкс;Нур-Султан;24 ноября
Начинающий специалист (маркетолог);100 000-100 000 KZT;ТОО CAD.kz;Нур-Султан;12 ноября
Разработчик баз данных/ MySQL-разработчик;200 000-500 000 KZT;ТОО DevArt;Алматы;2 ноября
Back-end Разработчик;200 000-600 000 KZT;ТОО SENIM GROUP.KZ;Алматы, Абая и еще 1 ;9 ноября
Интернет-маркетолог;;ИП Добрый Кузнец;Алматы;28 октября
Младший 1С Консультант;80 000-100 000 KZT; 1С:Франчайзинг Ваниев;Алматы, Сайран;19 ноября
Сервисный инженер;130 000-250 000 KZT;ИП Сервис Центр Иван;Шымкент;19 ноября
Технический специалист;от 150 000 KZT;ТОО I-TECH Company;Алматы;23 ноября
Менеджер;от 150 000 KZT;ТОО GreenDem;Алматы;11 ноября
Специалист отдела продаж;60 000-500 000 KZT;ИП Aktobe Business Systems;Актобе;24 ноября
Помощник-консультант в финансовой сфере (экономист, финансист, бухгалтер, аудитор);;ТОО Бақ-ЛИЧ;Костанай;19 ноября
Специалист технической поддержки;100 000-150 000 KZT;ТОО Voix;Алматы, Сайран;30 октября
Технический администратор (CRM);от 200 000 KZT;ТОО ADVISION CONSULTING;Алматы;23 ноября
